name,score,number,average_score
沙特,2868.882785309831,4629,0.6197629693907606
乌拉圭,1312.7015098401605,3610,0.36362922710253753
埃及,5.308714585657434,21,0.252795932650354
日本,3011.468622794486,5371,0.5606904901870202
俄罗斯,11727.483227607796,20050,0.5849118816761993
哥伦比亚,2.2820114171442603,10,0.22820114171442601
塞内加尔,7.776829489206881,101,0.07699831177432556
英格兰,950.8800178271293,1728,0.5502777880944035
波兰,3.460163646642983,15,0.23067757644286552
突尼斯,1.487537726862568,12,0.12396147723854734
比利时,4970.84825806195,7222,0.6882924755001316
巴拿马,24.39511123306079,101,0.24153575478278008
瑞典,278.4040394230759,655,0.42504433499706246
韩国,4202.63562669739,14416,0.2915257787664671
墨西哥,1515.8802549807003,2523,0.6008245164410227
德国,8987.309398089612,13128,0.6845909047904946
巴西,2043.9500743282824,4271,0.47856475634003337
塞尔维亚,0,0,0
尼日利亚,491.6240892619816,1816,0.2707181108270824
克罗地亚,8786.710144380357,16693,0.5263709425735552
哥斯达黎加,0,0,0
阿根廷,12631.32094885386,28828,0.4381615425577168
丹麦,364.50546200125274,1440,0.2531287930564255
瑞士,464.63071813632695,892,0.5208864553097836
冰岛,2.478605600493452,29,0.08546915863770524
法国,2205.0784249252556,5372,0.4104762518475904
摩洛哥,1.1946807077962338,2,0.5973403538981169
澳大利亚,9.931621816075392,36,0.275878383779872
秘鲁,0.3041360148266511,1,0.3041360148266511
西班牙,9493.055402483435,13772,0.6893011474356255
葡萄牙,1395.286150199555,4572,0.3051806977689316
伊朗,0.12535485938941537,1,0.12535485938941537
